N,Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,DateUTC,station
0,2015-01-01 00:03:00,23.1,20.5,1022.2,NW,305,4.7,7.9,85,0.0,,,0.0,0.0,HP1000 V1.1.3,2014-12-31 13:03:00,INEWSOUT455
1,2015-02-01 00:04:00,22.9,15.3,1015.8,South,172,4.3,7.9,62,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-01-31 13:04:00,INEWSOUT455
2,2015-03-01 00:00:00,24.8,21.5,1014.8,NNW,339,4.0,4.0,82,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-02-28 13:00:00,INEWSOUT455
3,2015-04-01 00:00:00,20.5,17.7,1031.7,ENE,69,0.0,0.0,84,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-03-31 13:00:00,INEWSOUT455
4,2015-05-01 00:01:00,17.9,15.4,1034.8,East,101,0.0,0.0,85,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-04-30 14:01:00,INEWSOUT455
5,,,6.8,1019.2,NE,56,0.0,0.0,73,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-05-31 14:01:00,INEWSOUT455
6,2015-07-01 00:00:00,13.3,11.2,1030.7,NE,52,0.0,0.0,87,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-06-30 14:00:00,INEWSOUT455
7,2015-08-01 00:02:00,13.0,8.1,1026.6,North,10,0.0,0.0,72,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-07-31 14:02:00,INEWSOUT455
8,2015-09-01 00:01:00,11.4,8.5,1021.6,NNW,333,2.9,4.0,82,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-08-31 14:01:00,INEWSOUT455
9,2015-10-01 00:00:00,17.9,14.2,1031.4,SE,137,1.4,4.0,79,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-09-30 14:00:00,INEWSOUT455
10,2015-11-01 00:03:00,19.6,17.0,1024.9,North,351,3.2,4.0,85,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-10-31 13:03:00,INEWSOUT455
11,2015-12-01 00:00:00,21.6,19.4,1017.8,ENE,68,0.0,0.0,87,0.0,,,0.0,0.0,HP1000 V1.1.3,2015-11-30 13:00:00,INEWSOUT455
