N,Time,TemperatureC,DewpointC,PressurehPa,WindDirection,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,Conditions,Clouds,dailyrainMM,SoftwareType,DateUTC,station
0,2015-01-01 00:03:00,3.7,-2.7,1032.4,North,-999,-1607.4,-1607.4,63,0.0,,,0.0,Netatmo,2015-01-0108:03:00,IBCNORTH17
1,2015-02-01 00:04:00,8.1,4.9,1021.9,North,-999,-1607.4,-1607.4,80,0.0,,,0.0,Netatmo,2015-02-0108:04:00,IBCNORTH17
2,2015-03-01 00:03:00,9.0,-1.9,1026.0,North,-9999,-1608.8,-1607.4,46,0.0,,,0.0,Netatmo,2015-03-0108:03:00,IBCNORTH17
3,2015-04-01 00:06:00,11.3,3.9,1022.6,North,-9999,-1608.8,-1607.4,60,0.0,,,13.7,Netatmo,2015-04-0107:06:00,IBCNORTH17
4,2015-05-01 00:04:00,12.6,7.1,1021.9,North,-9999,-1608.8,-1607.4,69,0.0,,,0.0,Netatmo,2015-05-0107:04:00,IBCNORTH17
5,2015-06-01 00:11:00,20.6,11.9,1009.7,North,-9999,-1608.8,-1607.4,57,0.0,,,0.0,Netatmo,2015-06-0107:11:00,IBCNORTH17
6,2015-07-01 00:02:00,24.1,16.0,1018.8,North,-9999,-1608.8,-1607.4,60,0.0,,,0.0,Netatmo,2015-07-0107:02:00,IBCNORTH17
7,2015-08-01 00:02:00,24.9,12.3,1016.8,North,-9999,-1608.8,-1607.4,45,0.0,,,0.0,Netatmo,2015-08-0107:02:00,IBCNORTH17
8,2015-09-01 00:05:00,16.0,12.8,1010.7,North,-9999,-1608.8,-1607.4,81,0.3,,,30.2,Netatmo,2015-09-0107:05:00,IBCNORTH17
9,2015-10-01 00:02:00,17.0,10.2,1017.5,North,-9999,-1608.8,-1607.4,64,0.0,,,0.0,Netatmo,2015-10-0107:02:00,IBCNORTH17
10,2015-11-01 00:01:00,12.7,9.4,1002.9,North,-9999,-1608.8,-1607.4,80,2.8,,,1.0,Netatmo,2015-11-0107:01:00,IBCNORTH17
11,2015-12-01 00:05:00,7.8,2.9,1021.9,North,-9999,-1608.8,-1607.4,71,0.0,,,0.0,Netatmo,2015-12-0108:05:00,IBCNORTH17
